Date2,Date,Open,High,Low,Close*,Adj Close**,Volume
2020-09-16,"Sep 16, 2020",115.23,116.00,112.04,112.13,111.94,154679000
2020-09-15,"Sep 15, 2020",118.33,118.83,113.61,115.54,115.34,184642000
2020-09-14,"Sep 14, 2020",114.72,115.93,112.80,115.36,115.16,140150100
2020-09-11,"Sep 11, 2020",114.57,115.23,110.00,112.00,111.81,180860300
2020-09-10,"Sep 10, 2020",120.36,120.50,112.50,113.49,113.29,182274400
2020-09-09,"Sep 09, 2020",117.26,119.14,115.26,117.32,117.12,176940500
2020-09-08,"Sep 08, 2020",113.95,118.99,112.68,112.82,112.63,231366600
2020-09-04,"Sep 04, 2020",120.07,123.70,110.89,120.96,120.75,332607200
2020-09-03,"Sep 03, 2020",126.91,128.84,120.50,120.88,120.67,257599600
2020-09-02,"Sep 02, 2020",137.59,137.98,127.00,131.40,131.17,200119000
2020-09-01,"Sep 01, 2020",132.76,134.80,130.53,134.18,133.95,152470100
2020-08-31,"Aug 31, 2020",127.58,131.00,126.00,129.04,128.82,225702700
2020-08-28,"Aug 28, 2020",126.01,126.44,124.58,124.81,124.59,187630000
2020-08-27,"Aug 27, 2020",127.14,127.49,123.83,125.01,124.79,155552400
2020-08-26,"Aug 26, 2020",126.18,126.99,125.08,126.52,126.3,163022400
2020-08-25,"Aug 25, 2020",124.70,125.18,123.05,124.82,124.61,211495600
2020-08-24,"Aug 24, 2020",128.70,128.79,123.94,125.86,125.64,345937600
2020-08-21,"Aug 21, 2020",119.26,124.87,119.25,124.37,124.16,338054800
2020-08-20,"Aug 20, 2020",115.75,118.39,115.73,118.28,118.07,126907200
2020-08-19,"Aug 19, 2020",115.98,117.16,115.61,115.71,115.51,145538000
2020-08-18,"Aug 18, 2020",114.35,116.00,114.01,115.56,115.36,105633600
2020-08-17,"Aug 17, 2020",116.06,116.09,113.96,114.61,114.41,119561600
2020-08-14,"Aug 14, 2020",114.83,115.00,113.04,114.91,114.71,165565200
2020-08-13,"Aug 13, 2020",114.43,116.04,113.93,115.01,114.81,210082000
2020-08-12,"Aug 12, 2020",110.50,113.28,110.30,113.01,112.82,165944800
2020-08-11,"Aug 11, 2020",111.97,112.48,109.11,109.38,109.19,187902400
2020-08-10,"Aug 10, 2020",112.60,113.78,110.00,112.73,112.53,212403600
2020-08-07,"Aug 07, 2020",113.21,113.68,110.29,111.11,110.92,198045600
2020-08-06,"Aug 06, 2020",110.40,114.41,109.80,113.90,113.5,202428800
2020-08-05,"Aug 05, 2020",109.38,110.39,108.90,110.06,109.68,121992000
2020-08-04,"Aug 04, 2020",109.13,110.79,108.39,109.67,109.28,173071600
2020-08-03,"Aug 03, 2020",108.20,111.64,107.89,108.94,108.55,308151200
2020-07-31,"Jul 31, 2020",102.89,106.42,100.82,106.26,105.89,374336800
2020-07-30,"Jul 30, 2020",94.19,96.30,93.77,96.19,95.85,158130000
2020-07-29,"Jul 29, 2020",93.75,95.23,93.71,95.04,94.71,90329200
2020-07-28,"Jul 28, 2020",94.37,94.55,93.25,93.25,92.92,103625600
2020-07-27,"Jul 27, 2020",93.71,94.90,93.48,94.81,94.48,121214000
2020-07-24,"Jul 24, 2020",90.99,92.97,89.14,92.61,92.29,185438800
2020-07-23,"Jul 23, 2020",97.00,97.08,92.01,92.85,92.52,197004400
2020-07-22,"Jul 22, 2020",96.69,97.97,96.60,97.27,96.93,89001600
2020-07-21,"Jul 21, 2020",99.17,99.25,96.74,97.00,96.66,103646000
